signature_id,pattern_name,description,severity,detection_rule,false_positive_rate,created_date,last_triggered,trigger_count_30d,embedding_text
SIG-0001,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.101,2025-10-09,2026-02-17 09:42:00,225,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0002,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.017,2025-05-18,2026-02-21 06:42:00,168,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0003,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.038,2025-07-24,2026-02-06 07:42:00,238,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in wire transfers fraud.
SIG-0004,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.107,2025-10-11,2026-03-03 01:42:00,21,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0005,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.145,2025-09-21,2026-03-03 03:42:00,394,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in mobile banking fraud.
SIG-0006,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.024,2025-03-06,2026-02-15 02:42:00,368,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0007,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.055,2025-11-09,2026-03-03 20:42:00,358,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0008,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.025,2026-02-24,2026-02-15 21:42:00,258,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in mobile banking fraud.
SIG-0009,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.021,2025-09-17,2026-02-05 18:42:00,132,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in wire transfers fraud.
SIG-0010,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.118,2025-11-25,2026-02-12 09:42:00,72,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0011,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.065,2025-06-16,2026-02-15 03:42:00,102,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0012,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.063,2026-01-12,2026-03-03 18:42:00,210,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in P2P payments fraud.
SIG-0013,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.045,2025-05-25,2026-02-28 02:42:00,294,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in wire transfers fraud.
SIG-0014,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.015,2025-07-24,2026-02-06 21:42:00,23,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in P2P payments fraud.
SIG-0015,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.099,2025-04-10,2026-02-10 10:42:00,356,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in online banking fraud.
SIG-0016,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.096,2025-11-10,2026-02-05 23:42:00,500,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0017,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.025,2025-07-13,2026-02-17 03:42:00,430,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in wire transfers fraud.
SIG-0018,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.104,2025-11-06,2026-03-01 00:42:00,362,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
