login_id,user_id,timestamp,ip_address,city,country,latitude,longitude,device_type,user_agent,login_successful,failed_attempts_before_success,mfa_change_flag,mfa_method,typing_speed_ms,session_duration_min,is_suspicious
LOG-FB642AC1F499,USR-000227,2026-02-03 11:42:49,51.230.234.99,Houston,US,29.8477,-95.4047,desktop_firefox,Mozilla/5.0 (Windows NT 10.0),True,0,False,authenticator_app,78.4,94.9,False
LOG-C12D73B2EDCE,USR-000210,2026-02-03 11:44:19,162.36.76.17,Chicago,US,41.8115,-87.6749,mobile_android,Mozilla/5.0 (iPhone),True,0,False,hardware_key,66.4,17.4,False
LOG-A300C84F6209,USR-000112,2026-02-03 11:46:26,93.222.30.28,Miami,US,25.7084,-80.1936,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,143.4,103.0,False
LOG-83F91575A789,USR-000228,2026-02-03 11:47:46,51.81.10.80,Houston,US,29.7496,-95.3468,unknown,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,97.1,38.5,False
LOG-E1AFEDAD0955,USR-000213,2026-02-03 11:53:06,93.178.94.226,Miami,US,25.765,-80.1807,mobile_android,Mozilla/5.0 (Macintosh),True,0,False,hardware_key,90.7,71.6,False
LOG-015D9B5CA733,USR-000171,2026-02-03 11:56:11,200.10.168.145,Los Angeles,US,34.0456,-118.3681,mobile_ios,Mozilla/5.0 (Windows NT 10.0),True,0,False,hardware_key,105.9,115.3,False
LOG-548D52AA47B8,USR-000002,2026-02-03 11:59:01,70.191.246.41,New York,US,40.6935,-74.0055,tablet,Mozilla/5.0 (Linux),True,0,False,hardware_key,113.3,46.8,False
LOG-9E38BCFB88D6,USR-000256,2026-02-03 12:01:12,51.218.98.105,Houston,US,29.8549,-95.4159,desktop_chrome,Mozilla/5.0 (Windows NT 10.0),True,0,False,email,115.6,48.7,False
LOG-F5C8CE43718B,USR-000342,2026-02-03 12:04:41,93.141.115.74,Miami,US,25.695,-80.1786,desktop_chrome,Mozilla/5.0 (iPhone),True,0,False,authenticator_app,152.2,65.8,False
LOG-9F73BAFBB86C,USR-000362,2026-02-03 12:08:51,162.201.195.196,Chicago,US,41.8375,-87.6491,mobile_android,Mozilla/5.0 (Linux),True,0,False,email,138.6,56.5,False
LOG-633ED2D0DCAC,USR-000194,2026-02-03 12:09:05,70.59.134.151,New York,US,40.7892,-73.8902,tablet,Mozilla/5.0 (iPhone),True,0,False,hardware_key,139.9,12.7,False
LOG-728AD62FE493,USR-000110,2026-02-03 12:10:44,200.113.56.8,Los Angeles,US,34.121,-118.1862,unknown,Mozilla/5.0 (iPhone),True,0,False,sms,85.7,21.8,False
